第248条	update to electron 6.0.x
第389条	chore: Bump electron@4.2.10
第390条	chore: Bump electron@4.2.10
第481条	chore: Bump electron@4.2.9
第614条	chore: Bump electron@4.2.7
第770条	Potential workaround for electron 4 eating mouse events in webviews
第776条	electron@4.2.5
第795条	chore: Update to Electron 6.x
第944条	Add icon explorations into electron-4.0.x
第1029条	Update to Electron 4.0.x
第1277条	Selectbox: Remove explicit select role (Electron 2 workaround)
第1281条	Towards electron 5 development
第1283条	Update to electron 3.1.6
第1293条	Electron 5 exploration
第1301条	Electron 4.0.x
第1511条	update to electron 3.1.0
第1523条	Upgrade to electron@3.0.14
第1547条	Add electron workspace tagging
第1751条	electron 3.0.x - try to fix keybindings in webviews
第1899条	Update src/vs/workbench/services/files/electron-browser/fileService.ts
第1912条	Electron 4.0.x
第1944条	pull edit Electron 4.0.x
第2019条	SelectBox: Electron select labeling. Workaround for #60929
第2139条	electron@2.0.11
第2282条	Update Electron to 2.0.10
第2355条	Adding electron ARM and ARM64 tasks for cross-compiling
第2358条	Update Electron to 2.0.9
第2423条	Electron 2.0.8
第2441条	Debt: avoid electron remote module
第2509条	Electron 2.0.7
第2520条	Investigate Electron 3.0.x
第2551条	Bring back the old menu due to electron 2.0 issues
第2626条	Electron 2.0.5
第2629条	Revert "Update to Electron 2.0.x"
第2651条	Workaround duplicate rendered characters in Electron 2.0.x
第2764条	Update to Electron 2.0.x
第3021条	Electron v2.0.0
第3091条	Electron v2.0.0
第3122条	Electron v2.0.0
第3170条	update to electron 1.7.12
第3187条	Properly set electron version in env scripts
第3218条	Update gulp-atom-electron to 1.16.0 to fix duplicated icns issue
第3417条	Fix typings for electron.WebviewTag.executeJavaScript
第3548条	Use the async version of Electron's dialog API
第3715条	inline electron references
第3735条	Fix array syntax in debug/electron-browser/debugViewer.ts
第3808条	electron@1.7.9
第3908条	Using node 7.9.0 after  updated from Electron 1.6.6 to 1.7.3
第3947条	electron@1.7.7
第3950条	updated electron.d.ts
第3988条	Downgrade Electron to 1.7.3 with debug fix
第3991条	Move to Electron 1.7.3
第4002条	Bump electron version to 1.7.5
第4040条	Adding electron-arm target for gulp
第4063条	Electron 1.7.x
第4546条	Update to electron 1.6.x
第4550条	Update to electron 1.6.x
第5131条	electron 1.4.7
第5140条	electron-main/main.ts: Improve structure in the massive `main` method.
第5160条	Update to electron 1.4.x
第5206条	update to electron 1.3.8
第5278条	build with electron 1.3.7
第5367条	Electron Update 1.x
第5426条	Update to Electron 1.x
第5513条	Update to Electron 1.x
第5657条	Introduce services in Electron main process
第5677条	Update to Electron 0.37.6
第5681条	Update to Electron 0.37.6
第5830条	Update to Electron 0.37.x
第5866条	Update to Electron 0.35.5
第5928条	Adopt latest Electron build (#826)
第5961条	Run tests in Electron
第5962条	Run tests in Electron
